0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CD74,PTN,IGF1,ID2,SKAP1,DCN,SCIN,FGF7,HLA-DRA,MCAM,DCN,KDR,PTN,HAPLN1,SLCO2B1,IL7R
CPVL,PANX3,FGF7,PANX3,GNLY,ELN,SLAMF9,IGF1,CD74,COL6A3,PTN,EMCN,UBE2C,PTN,LAPTM5,CD69
LAPTM5,URB1,RARRES2,COL2A1,SRGN,FAT3,HAPLN1,HP,HLA-DPA1,COL1A2,COL1A2,FLT1,HSP90AA1,PANX3,AKAP13,RHOH
SRGN,ADAMTS1,AKAP12,NCAM2,IL7R,URB1,ADAMTS1,TSHZ2,HLA-DMA,CCNB1,SPARC,RAB3C,PANX3,HSP90AA1,ID2,TMEM176B
CTSS,OMD,IGFBP4,COL9A1,CELF2,LRRC1,CTHRC1,JUND,PTPRC,CD44,ANOS1,PLVAP,SLC26A7,URB1,ADAMTS1,AKAP13
EMILIN2,SPARC,EFEMP1,ADAMTS1,KLRB1,SVEP1,NDRG1,SPON1,CYTIP,MYH11,URB1,COL21A1,MKI67,CA2,HAPLN1,AGTPBP1
SLCO2B1,DPT,AKAP13,C1QTNF3,CD96,ADAMTS1,NOVA1,FNDC1,LAPTM5,GTSE1,NCAM2,PODXL,DPT,PTH1R,HSP90AA1,CREM
PTPRJ,IGFBP5,MME,HAPLN1,IL32,PTN,IFI6,GFRA1,CD1C,URB1,DPT,VWF,CCNB1,TNNT3,CA2,IGHA1
MRC1,GLG1,TSHZ2,CA2,CD69,PTH1R,FN1,COL6A3,MRC1,TOP2A,NR2F1,MMRN1,ADAMTS1,ADAMTS1,DOCK10,TNFAIP8
PLA2G7,ARHGEF2,SFRP4,SCIN,LCP1,COL27A1,MT2A,FBLN5,HLA-DQA1,SGO2,CFH,EGFL7,C21orf58,CLIC3,PTN,USP15
CSF2RA,CLU,SPON1,PTH1R,IQGAP2,ADAMTS5,IFI44,DCN,NCKAP1L,HSP90AA1,MATN2,RAPGEF5,CDC25C,ID4,FAM49B,REL
FCGRT,C1S,DCN,TNNT3,CD247,ANOS1,MX1,AKAP13,CPVL,UBE2C,SON,BTNL9,ANLN,IGFBP5,SPARC,FMNL1
MERTK,HPGD,PLPP3,COL11A2,STAT4,SLC26A7,IFI44L,EFEMP1,JUND,NUF2,IFI44,PTPRB,ARHGAP11A,GLG1,MERTK,BMP2K
