0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
DOCK4,TNC,KIAA1217,COL11A1,IL32,FAT3,NDRG1,TSHZ2,SYK,PTPRG,NCAM2,MAGI1,KIF14,WWP2,AP1B1,SPARCL1
RBM47,FAT3,COL12A1,JPH1,SKAP1,CDH18,FN1,PDE10A,AGTPBP1,COL6A3,ADAMTS5,PLEKHG1,CDC25C,FAT3,FCHO2,STK4
MERTK,ELN,ITGBL1,CADM2,STAT4,COL1A2,COL11A1,COL6A3,EMILIN2,ITGA3,MATN2,MECOM,GTSE1,ID4,CR1,SAMSN1
GNA13,COL1A2,APBB2,COL9A2,CD96,PANX3,HAPLN1,EBF3,PHACTR1,ETV1,CDH18,SASH1,KIFC1,NRXN1,FCHSD2,HPGD
FMN1,PANX3,PLEKHH2,ACAN,PTPRC,ADAMTS5,NOVA1,FSTL1,TLR2,LAMC1,ANOS1,RAPGEF4,PTN,COL11A1,ADAP2,COL8A1
FRMD4B,PTN,SPON1,WWP2,LIME1,LRRC1,CHRM3,SNED1,ARHGAP26,PDGFRB,CFH,FAM155A,ANLN,LRRC1,ITGAX,IL17B
DAPK1,MATN2,TSHZ2,COL2A1,FYN,NCAPG,CA2,FNDC1,CELF2,LOXL1,FBLN1,RAPGEF5,KIF2C,COL11A2,AP2A2,TPM1
GRK3,PTH1R,FBN1,COL11A2,SLC38A1,NUF2,ID4,ACKR3,ADAM28,COL5A3,COL1A2,FGD5,CENPF,PTH1R,CPVL,ARHGAP4
ARHGAP18,SPARC,DMD,COL9A1,IKZF1,ADGRL2,ACAN,SPON1,ALOX5,NOTCH3,HPGD,DOCK9,NCAPG,NCAM2,DOCK10,GNPTAB
EEPD1,INSR,FAP,NDRG1,ARHGAP15,IFI44,COL11A2,FBN1,CSF2RA,IFI44,DCN,IGFBP7,SGO2,COL27A1,C2,BCL2
CD83,LRRC1,HMCN1,LRRC1,CNOT6L,TNNT3,GRIA2,PLEKHH2,CD83,CCDC102B,ELN,SVIL,FAT3,ADAMTS1,TMEM176B,PLCG2
DOCK2,GRIK1,SEMA3C,TNFRSF11B,PARP8,SLC26A7,SCIN,NR2F2,GPAT3,JAG1,SON,NOX4,SLC26A7,HAPLN1,SPARC,HLA-DPA1
DMXL2,COL27A1,USP9Y,SCIN,SAMSN1,PTH1R,COL9A1,ABCC9,ELF1,VEGFC,ADGRL2,ADGRL2,ADAMTS1,STAC2,KCNAB2,CFH
MYO5A,OMD,SFRP4,LAMA4,BCL2,NCAM2,SON,PDE4B,FGD4,STAC2,IFI44,PTPRE,OMD,PTN,FMN1,TNFSF10
