mouse_symbol	human_symbol
0610030E20Rik	C2orf68
1110002E22Rik	C4orf54
1110004F10Rik	C11orf58
1110032F04Rik	C3orf80
1110038F14Rik	C8orf33
1110059E24Rik	C9orf85
1110059G10Rik	KIAA1143
1110065P20Rik	C1orf122
1500009L16Rik	C12orf75
1600012H06Rik	C6orf120
1600014C10Rik	C19orf12
1700001O22Rik	C9orf50
1700003E16Rik	C2orf81
1700003F12Rik	C20orf144
1700008O03Rik	C19orf81
1700009N14Rik	RAN
1700010I14Rik	C6orf118
1700011L22Rik	C4orf51
1700012B09Rik	C11orf97
1700013H16Rik	SYCP3
1700016H13Rik	C4orf36
1700018B08Rik	C16orf95
1700020A23Rik	C20orf141
1700020L24Rik	C17orf50
1700024G13Rik	C10orf53
1700025G04Rik	C1orf21
1700028K03Rik	C1orf146
1700029H14Rik	C13orf46
1700030J22Rik	C16orf46
1700030K09Rik	C19orf44
1700031M16Rik	C12orf54
1700034E13Rik	ZNF475
1700034J05Rik	C12orf71
1700037C18Rik	C16orf90
1700066M21Rik	C2orf69
1700067K01Rik	C19orf67
1700088E04Rik	C22orf23
1700093K21Rik	C2orf74
1700102P08Rik	C3orf62
1700113H08Rik	C12orf42
1700123O20Rik	C14orf119
1810009A15Rik	C11orf98
1810010H24Rik	C17orf58
1810030O07Rik	CXorf38
1810055G02Rik	C11orf24
2010003K11Rik	C11orf86
2010315B03Rik	ZNF670
2200002D01Rik	C19orf33
2210016L21Rik	C12orf43
2210017I01Rik	LCE7A
2210408I21Rik	KIAA0825
2300002M23Rik	C6orf15
2300009A05Rik	C15orf61
2310009B15Rik	C1orf53
2310011J03Rik	C19orf25
2310022A10Rik	C19orf47
2310022B05Rik	C1orf198
2310030G06Rik	C11orf52
2310033P09Rik	C1orf35
2310057J18Rik	C6orf58
2310057M21Rik	C10orf88
2310061I04Rik	C6orf136
2410002F23Rik	C19orf48P
2410004B18Rik	C1orf52
2510002D24Rik	C22orf39
2510009E07Rik	C3orf70
2510039O18Rik	KIAA2013
2610028H24Rik	C21orf58
2610035D17Rik	LINC00673
2610528J11Rik	C1orf210
2700049A03Rik	KIAA0586
2700062C07Rik	RMP24
2810459M11Rik	C2orf72
2900026A02Rik	KIAA1671
2900092C05Rik	C19orf18
3110009E18Rik	C2orf76
3110040N11Rik	C15orf40
3425401B19Rik	C10orf71
3830403N18Rik	SYCP3
4833420G17Rik	C5orf34
4833439L19Rik	KIAA1191
4921504E06Rik	C10orf67
4921517D22Rik	C9orf153
4921524J17Rik	C16orf87
4921536K21Rik	C5orf52
4921539E11Rik	C1orf141
4930407I10Rik	C22orf46P
4930433I11Rik	C2orf78
4930444P10Rik	C8orf89
4930447C04Rik	C14orf39
4930453N24Rik	C3orf38
4930469K13Rik	C5orf58
4930481B07Rik	ZNF687-AS1
4930503L19Rik	C18orf54
4930522H14Rik	C1orf185
4930523C07Rik	KIAA0040
4930524B15Rik	C5orf47
4930544D05Rik	C17orf107
4930550C14Rik	C11orf65
